brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
BMW,M4,2018,62999,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b0/b0fef103-4215-42e8-9fc4-5d2704d6ee41?rule=kijijica-640-jpg,,
Jeep,Wrangler,2022,49975,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49681,,1C4HJXDG2NW131063,https://media.kijiji.ca/api/v1/autos-prod-ads/images/5f/5fb86afd-acbd-4524-80e4-6792f000f057?rule=kijijica-640-jpg,,
Ford,Ranger,2020,37990,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,70044,,1FTER4FH7LLA18076,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/836c76ea-d90b-41ce-88f3-9feee459c19e?rule=kijijica-640-jpg,,
Porsche,911,2019,129790,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,13715,,WP0AA2A90KS104389,https://media.kijiji.ca/api/v1/autos-prod-ads/images/62/629edb7f-233a-4a74-b504-4bab77d20937?rule=kijijica-640-jpg,,
Hyundai,Sonata,2021,27444,White,,Used,Sedan,Other,Gasoline,5NPEG4JA3MH127365,80702,,PA7365,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0f097278-db11-4bd1-a0b6-1fb9eacf96e1?rule=kijijica-640-jpg,,
GMC,Terrain,2019,26990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61560,,3GKALTEV1KL301095,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c5/c5e693b0-52c2-4025-b596-fcbfdf50efc6?rule=kijijica-640-jpg,,
Jeep,Grand Cherokee,2021,59877,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4f/4f55ad19-5328-48a9-8cd7-c6607987deb4?rule=kijijica-640-jpg,,
Nissan,Qashqai,2019,21995,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,84569,,JN1BJ1CP5KW221052,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a3/a3238f73-9be8-45a3-8e7e-e085b439e867?rule=kijijica-640-jpg,,
Honda,Civic,2017,41990,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,https://media.kijiji.ca/api/v1/autos-prod-ads/images/6f/6f5e3437-6ca5-4cbe-a49c-6299cd1f9f42?rule=kijijica-640-jpg,,
Ford,Escape,2021,31990,Grey,,Used,"SUV, Crossover",Other,Gasoline,1FMCU9H66MUA72149,55334,,PA2149,https://media.kijiji.ca/api/v1/autos-prod-ads/images/06/06107028-3b26-4a6c-a645-6f114fe5f055?rule=kijijica-640-jpg,,
Lexus,RX,2022,52990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,21600,,2T2HZMDA6NC318894,https://media.kijiji.ca/api/v1/autos-prod-ads/images/30/301fffa7-691b-4166-8d68-310552d69df0?rule=kijijica-640-jpg,,
Lexus,RX,2017,39990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,https://media.kijiji.ca/api/v1/autos-prod-ads/images/25/2500293e-c78a-44fb-81a3-43b4b39a4c49?rule=kijijica-640-jpg,,
Porsche,Cayenne,2021,119205,Orange,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60147,,WP1BG2AY3MDA49906,https://media.kijiji.ca/api/v1/autos-prod-ads/images/54/54a87849-bc9f-44e4-825b-530963e4c764?rule=kijijica-640-jpg,,
Toyota,Highlander,2020,42990,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/83ade1e2-bbeb-43d2-afc1-2d64fc581410?rule=kijijica-640-jpg,,
BMW,3-Series,2009,7500,Sedan,,Used,All-wheel drive (AWD),Automatic,Gasoline,,249000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1f/1f0c827c-070c-4447-8034-691325e62a22?rule=kijijica-640-jpg,,
Mazda,Mazda3 Sport,2014,10994,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,180807,,JM1BM1L79E1189504,http://img.youtube.com/vi/PYl85atKbLM/sddefault.jpg,,
Porsche,911,2016,239990,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,https://media.kijiji.ca/api/v1/autos-prod-ads/images/73/7321d0f3-7200-4012-b584-f45f6f73e328?rule=kijijica-640-jpg,,
Ram,1500,2017,31999,Other,,Used,Pickup Truck,4 x 4,Gasoline,1C6RR7FT1HS806590,78000,,F23140TA,https://media.kijiji.ca/api/v1/autos-prod-ads/images/88/883f69ab-0775-4c81-93f3-b204188f1711?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2018,25495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117249,,3VV2B7AXXJM039847,https://media.kijiji.ca/api/v1/autos-prod-ads/images/08/08a7165c-c450-402e-a0a1-5cb882c0d885?rule=kijijica-640-jpg,,
Jaguar,F-Type,2020,61990,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d0/d00fcfbd-1b6a-4f6c-ba2b-fe7f4984db54?rule=kijijica-640-jpg,,
Porsche,Macan,2015,29990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,145000,,WP1AB2A51FLB41024,https://media.kijiji.ca/api/v1/autos-prod-ads/images/98/983ce46f-58e3-44b7-adb0-c877ea3b0e0e?rule=kijijica-640-jpg,,
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35234,,5TDFZRBH6MS126163,http://img.youtube.com/vi/bX-kyvbBPiA/sddefault.jpg,,
Mitsubishi,RVR,2020,23990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,104040,,JA4AJ3AU2LU605617,https://media.kijiji.ca/api/v1/autos-prod-ads/images/3f/3f08f5f2-7aaa-4f2d-b7d1-3e953fd161de?rule=kijijica-640-jpg,,
Dodge,Power Ram 1500,2013,20000,,,Used,,,,,278506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/29/29807ed4-3a03-42a5-87f5-6299117ca77b?rule=kijijica-640-jpg,,
Toyota,Camry,2005,8150,Sedan,,Used,Automatic,Gasoline,,,163000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/48/48106361-68ee-42d2-ad1b-48b41c828af5?rule=kijijica-640-jpg,,
Audi,RS5,2018,60495,Other,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,113754,,WUARWAF59JA903860,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4e/4e98b0c4-f7cf-425b-a690-f9a2a8645d18?rule=kijijica-640-jpg,,
Ford,GT,2023,55900,Black,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,7793,,1FA6P8CF8P5305849,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c2/c23c0c51-3c9e-401c-935d-1600686ef8ab?rule=kijijica-640-jpg,,
Land Rover,Range Rover Sport,2016,43990,Other,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,99990,,SALWR2EF0GA578962,https://media.kijiji.ca/api/v1/autos-prod-ads/images/f8/f8298c9d-5645-4b8d-8dc9-e3d7614702eb?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2019,27989,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,58012,,3VV2B7AX6KM082065,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/002e7ee6-3ff9-4049-9a44-ecb004c7f012?rule=kijijica-640-jpg,,
Land Rover,Range Rover,2020,84595,White,,Used,"SUV, Crossover",4 x 4,Automatic,Diesel,36860,,SALGS2RK0LA595030,https://media.kijiji.ca/api/v1/autos-prod-ads/images/91/91e85788-7e4e-4a7d-aa1b-101d5307f345?rule=kijijica-640-jpg,,
Ford,Edge,2016,18990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,128706,,2FMPK4G94GBC38460,https://media.kijiji.ca/api/v1/autos-prod-ads/images/19/19d5be3c-1aff-4201-8dd7-191459386e02?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2021,53990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a7/a77c3a16-bcfb-493a-900d-bfc5867ae963?rule=kijijica-640-jpg,,
Audi,A6,2014,23990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,131000,,WAUHMCFC1EN012871,https://media.kijiji.ca/api/v1/autos-prod-ads/images/29/29cc5702-71d1-4b06-bc8a-9da68e3fa3cb?rule=kijijica-640-jpg,,
BMW,M2,2021,72995,Black,,Used,Sedan,Rear-wheel drive (RWD),Gasoline,WBS2U7C09M7J21780,9420,,PPT21780,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ec/ec693b17-2973-486f-b81c-4ab5753534e4?rule=kijijica-640-jpg,,
Nissan,Murano,2010,7400,4 x 4,,Used,Automatic,Gasoline,,,178000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5e/5e627cde-d68a-49de-910d-01aa1f26ecec?rule=kijijica-640-jpg,,
Volkswagen,Tiguan,2012,10500,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,,197000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2d/2de9788f-1bbe-40f7-93ee-0c7970f654ee?rule=kijijica-640-jpg,,
GMC,Sierra 1500,2010,8000,,,Used,,,,,220000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/62/62bf94f1-c310-40af-a0e6-088149a0ef5e?rule=kijijica-640-jpg,,
Chevrolet,Cruze,2013,2500,Manual,,Used,,,,,150000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/18/18d71033-2ce3-4873-bce9-ccb17e22d087?rule=kijijica-640-jpg,,
Toyota,Yaris,2008,1500,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,JTDKT923185817680,172506,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/ec/ec5c74f7-ec7b-4ff5-a5bf-878ac5845e70?rule=kijijica-640-jpg,,
Honda,Fit,2008,2000,Hatchback,,Used,Automatic,,,,196000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/3a/3aca7064-acf9-454e-9bdb-eae2e6bda762?rule=kijijica-640-jpg,,
